Final Training Summary: 30.Jul.2021

Index , Parameters , Model , AUC , Accuracy , Loss 
0.0 , dataset_6j_2017_l2/1to20_S2B10/optimized_params_6j_1to20_S2B10.json , unsaved , 0.7452808508184026 , 0.8536287462851301 , 0.37554519324778496
0.1 , dataset_6j_2017_l2/1to20_S2B10/optimized_params_6j_1to20_S2B10.json , unsaved , 0.7459102808214717 , 0.8545612145727719 , 0.37589454867208183
0.2 , dataset_6j_2017_l2/1to20_S2B10/optimized_params_6j_1to20_S2B10.json , unsaved , 0.7637059726960129 , 0.8551653489548371 , 0.3678612480989657
0.3 , dataset_6j_2017_l2/1to20_S2B10/optimized_params_6j_1to20_S2B10.json , unsaved , 0.7620247195855092 , 0.8555330829193135 , 0.36798035238525373
0.4 , dataset_6j_2017_l2/1to20_S2B10/optimized_params_6j_1to20_S2B10.json , unsaved , 0.752692362248985 , 0.8549158151889786 , 0.3737064400859885
0.5 , dataset_6j_2017_l2/1to20_S2B10/optimized_params_6j_1to20_S2B10.json , unsaved , 0.7491378494520122 , 0.8515668093777727 , 0.3765387532418008
0.6 , dataset_6j_2017_l2/1to20_S2B10/optimized_params_6j_1to20_S2B10.json , unsaved , 0.728862369305334 , 0.852118410333881 , 0.3822794682477772
0.7 , dataset_6j_2017_l2/1to20_S2B10/optimized_params_6j_1to20_S2B10.json , unsaved , 0.7504301807085028 , 0.8543379475144122 , 0.3764925136689001
0.8 , dataset_6j_2017_l2/1to20_S2B10/optimized_params_6j_1to20_S2B10.json , unsaved , 0.7555549251739182 , 0.852985211836337 , 0.3745867522596665
0.9 , dataset_6j_2017_l2/1to20_S2B10/optimized_params_6j_1to20_S2B10.json , dataset_6j_2017_l2/1to20_S2B10/final_model_6j_1to20_S2B10.h5 , 0.765916772747295 , 0.8561634840120088 , 0.3682583294743696
